pro_name,0Gy_6h_2.raw.PG.Quantity,0Gy_6h_3.raw.PG.Quantity,0Gy_6h_4.raw.PG.Quantity,0Gy_6h_5.raw.PG.Quantity,0Gy_6h_7.raw.PG.Quantity,0Gy_6h_9.raw.PG.Quantity,0Gy_1d_1.raw.PG.Quantity,0Gy_1d_6.raw.PG.Quantity,0Gy_1d_6(2).raw.PG.Quantity,0Gy_1d_7.raw.PG.Quantity,0Gy_1d_7(2).raw.PG.Quantity,0Gy_1d_9.raw.PG.Quantity,0Gy_14d_1.raw.PG.Quantity,0Gy_14d_6.raw.PG.Quantity,0Gy_14d_6(2).raw.PG.Quantity,0Gy_14d_8.raw.PG.Quantity,0Gy_14d_9.raw.PG.Quantity,0Gy_14d_10.raw.PG.Quantity,0Gy_14d_10(2).raw.PG.Quantity,2Gy_7d_2.raw.PG.Quantity,2Gy_7d_4.raw.PG.Quantity,2Gy_7d_6.raw.PG.Quantity,2Gy_7d_8.raw.PG.Quantity,2Gy_7d_10.raw.PG.Quantity,2Gy_11d_3.raw.PG.Quantity,2Gy_11d_5.raw.PG.Quantity,2Gy_11d_6.raw.PG.Quantity,2Gy_11d_7.raw.PG.Quantity,2Gy_11d_8.raw.PG.Quantity,2Gy_14d_2.raw.PG.Quantity,2Gy_14d_3.raw.PG.Quantity,2Gy_14d_4.raw.PG.Quantity,2Gy_14d_6.raw.PG.Quantity,2Gy_14d_9.raw.PG.Quantity,6.5Gy_7d_3.raw.PG.Quantity,6.5Gy_7d_6.raw.PG.Quantity,6.5Gy_7d_8.raw.PG.Quantity,6.5Gy_7d_9.raw.PG.Quantity,6.5Gy_7d_10.raw.PG.Quantity,6.5Gy_11d_1.raw.PG.Quantity,6.5Gy_11d_3.raw.PG.Quantity,6.5Gy_11d_5.raw.PG.Quantity,6.5Gy_11d_6.raw.PG.Quantity,6.5Gy_11d_8.raw.PG.Quantity,6.5Gy_14d_3.raw.PG.Quantity,6.5Gy_14d_4.raw.PG.Quantity,6.5Gy_14d_5.raw.PG.Quantity,6.5Gy_14d_6.raw.PG.Quantity,6.5Gy_14d_8.raw.PG.Quantity,6.5Gy+A_7d_1.raw.PG.Quantity,6.5Gy+A_7d_2.raw.PG.Quantity,6.5Gy+A_7d_3.raw.PG.Quantity,6.5Gy+A_7d_7.raw.PG.Quantity,6.5Gy+A_7d_8.raw.PG.Quantity,6.5Gy+A_11d_2.raw.PG.Quantity,6.5Gy+A_11d_4.raw.PG.Quantity,6.5Gy+A_11d_5.raw.PG.Quantity,6.5Gy+A_11d_7.raw.PG.Quantity,6.5Gy+A_11d_8.raw.PG.Quantity,6.5Gy+A_14d_2.raw.PG.Quantity,6.5Gy+A_14d_3.raw.PG.Quantity,6.5Gy+A_14d_4.raw.PG.Quantity,6.5Gy+A_14d_6.raw.PG.Quantity,6.5Gy+A_14d_9.raw.PG.Quantity,10Gy+A_7d_3.raw.PG.Quantity,10Gy+A_7d_4.raw.PG.Quantity,10Gy+A_7d_7.raw.PG.Quantity,10Gy+A_7d_9.raw.PG.Quantity,10Gy+A_7d_10.raw.PG.Quantity,10Gy+A_11d_1.raw.PG.Quantity,10Gy+A_11d_3.raw.PG.Quantity,10Gy+A_11d_7.raw.PG.Quantity,10Gy+A_11d_8.raw.PG.Quantity,10Gy+A_11d_9.raw.PG.Quantity,10Gy+A_14d_1.raw.PG.Quantity,10Gy+A_14d_3.raw.PG.Quantity,10Gy+A_14d_4.raw.PG.Quantity,10Gy+A_14d_5.raw.PG.Quantity,10Gy+A_14d_7.raw.PG.Quantity
Thbs1,5385774.5,5271137.5,5418376.5,5801869,4871735,5001637.5,5283327,5242153,6025479.5,4742396,5461237,5903777.5,5231147.5,5097320,5256539.5,4380508,4275745,4845603.5,6259597.5,5858950,4660168,5608358,4151942.75,4544376.5,2817578.5,3939671.25,3874489.25,3926894.75,3615554.5,5083090,5155180.5,5527402.5,5882223,5180781,1676618.25,1920412.625,1910198.5,1147676.875,1557997.25,426873.125,551757.125,533238.5,637472.4375,612889.25,129262.4375,1324598.375,44498.64063,45714.51563,441220.3125,4685095,5156179.5,4172939.75,5317535.5,3993020,3637059.25,4340018,4460435,3506658,4437110.5,5965494.5,5741472,6242324,5033564,7219040,3236411.5,455789.6563,1994350.25,2760465,3428752.5,3607289,3603888,3213047.75,3888247.75,3664737.5,3620981.75,4801891,4759059,4590832,5123025
Sell,60764.75781,32235.11523,55712.66248,64532.22266,19375.39844,55712.66248,70099.33594,36876.15625,55712.66248,68403.21094,74094.0625,84362.41406,64979.73438,65700.46875,24837.8125,60092.21484,49224.45313,68930.6875,46894.55469,28741.38086,34756.95162,38845.01172,34756.95162,27561.13672,44247.57031,35483.76953,34756.95162,37268.29688,9940.891602,37186.74219,34756.95162,58097.82813,37613.48047,27340.35938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20705.40234,21089.78975,16795.78125,35246.04297,21089.78975,30072.90625,21089.78975,14405.35547,13290.98535,14702.4668,15958.55078,24682.41992,21089.78975,25037.98633,21089.78975,15011.83171,15011.83171,15011.83171,12511.87109,15011.83171,14746.63477,15011.83171,15011.83171,11004.26563,15011.83171,15011.83171,15436.38574,15011.83171,22207.18945,14164.64355
Pf4,5746562,2932186.5,4900737.5,2369213.25,3745002,4674135.5,5936672,4202865,4106396.5,3680201,5401244.5,3028747.25,5584102,2332111.5,4554890,1975219.25,4241055,2215425.5,3854220.75,1271472.625,3234790.75,1156329,3029492.75,1302614.25,710430,876744.8125,2625677.75,2818299.5,950055.4375,1371821,4273869,3761613.25,1104803.25,1383939.125,635307.875,835657.625,1031911.688,317123.8125,409818.375,58836.00781,171746.3438,142453.1875,146989.0625,134811.2031,25541.52148,654130.4375,361019.5341,361019.5341,128926.8047,1263648.375,2799920,1156302.25,2418142,1106405.75,2382623,2268313.5,907410,719630.625,1074601.125,1349968.125,1369254.25,4761852,1068046.625,3836821,2767926,164642.2188,1023833.125,976609.0625,2120924,1804657.75,2720411,1559890.625,1064378.75,2274608.75,2003542.75,2696414.25,3582853,2666306.75,1485288.25
Treml1,662834.0625,699348.25,907094.0625,714494.3125,648620,719328.625,821569,796233.8125,762649.875,870705,738492.875,779856.75,682066.3125,759154,705020.625,612903.625,429110.9063,567347.875,578315.75,582714.125,593257.5625,467897.2813,421463.875,468940.6875,216958.2969,432904.3438,531896.125,369195.8438,384106.9375,465721.6563,764387,800197.5625,392891.9688,603929.8125,370149.625,337273.375,407864.5,217367.7344,298898.0313,76814.74219,99270.39063,89857.76563,98300.47656,98132.26563,188073.7744,134699.0469,188073.7744,188073.7744,28257.33984,517555.9063,748532.25,337531,887833.5,379059.9375,907917.375,593169.3125,306474.375,268143.6875,310284.625,418748.25,437499.75,913764.9375,342348.5938,1245460,558625,120786.2891,186462.2344,281987.4063,445089.6875,319494.1875,559299.375,219442,292625.2813,425531.0313,492853,425387.5625,495539.625,382784.625,403062.4688
Gp5,315703.5625,162728.7031,153006.3125,159219.9688,165482.1719,168948.8125,326334.75,335863.6875,401453.5625,166811.9063,181490.4844,153415.0938,298925.5625,147669.0781,332216.1563,276193.0625,274687.2188,136704.0625,166938.3594,136562.9688,298394.2188,122103.7578,430908.25,112247.7188,160301.7813,94773.24219,228652.8594,276525.75,184476.1563,128524,412174.4375,257176.2188,122283.3438,117646.7031,73017.625,142168.6719,168369.6875,46067.05859,121893.9609,10416.625,24435.50195,28375.68555,33362.32813,34264.01563,59890.10953,69068.29688,4915.736328,59890.10953,22216.23047,202124.75,469141.6563,191158.3125,456430.9688,95872.91406,369925.9063,416546.4375,145811.5625,133307.2969,159081.3125,205346.2969,110199.0156,672637.375,174229.6406,465828.6563,144444.6875,38919.45703,90717.41406,68997.41406,120807.4375,124454.5391,296149.6875,48523.47656,69971.03906,262347.8125,242606.0469,175354.7656,144873.6563,165323.3125,171506.2969
Timp3,545374,382123.0313,538646.375,255979.0938,352000.5625,491111.0625,581375.8125,476070.7813,545475.5625,439919.8125,531740.625,254566.75,612436.75,239022.1094,549228.8125,418507.4375,442173.0313,465643.875,543288.5625,270219.3438,443522.6563,147571.4375,312501.7188,171730.5313,144455.1563,190210.1563,260303.25,376194.7813,161051.7344,239925.8438,401266.2188,437456.25,195297.7813,258702.4063,66041.09375,114540.3984,184262.0469,83345.52604,40223.23047,9595.464844,83345.52604,83345.52604,83345.52604,83345.52604,83345.52604,85410.92188,83345.52604,83345.52604,83345.52604,129462.9141,333742.5938,206491.1563,382030.6563,224362.0625,258827.8438,314533.9375,182898.9844,155402.8125,240146.2813,255603.8125,295292.4063,438974.6875,180657.9063,550571.1875,234824.1875,30994.84375,107832.6484,180672.25,196377.1719,112803.1797,245224.7813,100125.9297,146245.8906,187603.0469,261698.5781,177176.0938,317780.375,157835.5,218058.9063
Gp1ba,133255.9531,101952.0781,112523.1797,117962.0469,102761.7578,155382.3125,164832.9844,142181.0781,160749.0156,123001.1797,135017.9688,139766.3438,153472.2188,193723.8281,129113.9844,168954.9375,112086.6016,146430.7969,119650.4531,150256.0938,150285,115354.3594,129996.9922,125201.8672,101497.5938,147611.0781,102632.6406,101764.2891,89335.125,239845.9844,94925,92394.28906,102318.1875,109655.6797,317996.9063,97484.00781,126947.5703,82936.76563,99066.82031,23475.90234,81514.25,79764.13281,82870.99219,85202.375,100424.9118,90806.85938,100424.9118,100424.9118,37032.35938,130547.0234,105189.375,116122.0156,116795.6328,123889.6094,83702.45313,64174.58203,193252.9688,69365.92969,77539.25781,62176.01953,72183.36719,86755.90625,80073.71875,93848.55469,85994.89063,140089.5313,73727.59375,77822.42188,96854.79688,68351.15625,66023.15625,172084.7969,170738.9219,60746.97656,63320.28906,89727.46875,74614.39844,78081.83594,212990.0469
Mmrn1,17610.97266,20021.3418,20765.78125,26028.68164,25662.82422,20999.73828,15599.03906,20608.77344,16414.04883,12149.18555,21568,23902.16016,17107.5957,15125.44336,12926.95605,13929.96973,16028.08887,17413.55664,17776.71875,7421.544434,10535.00808,8717.195313,11775.35449,5885.023926,3349.201172,10535.00808,11740.34082,28561.88086,10535.00808,9539.648438,9318.325195,10989.2998,10535.00808,8587.274414,8900.948242,8900.948242,8900.948242,8900.948242,8900.948242,8900.948242,8900.948242,8900.948242,8900.948242,8900.948242,8900.948242,8900.948242,8900.948242,8900.948242,8900.948242,15501.63105,40714.70703,5828.506348,27777.22852,15501.63105,20289.72852,15501.63105,15501.63105,15501.63105,4090.438721,5167.28125,8636.453125,10934.84863,15501.63105,16075.4873,11257.85742,1179.854004,5597.731445,11818.49512,15323.8877,6843.073242,8589.864258,2861.131836,6857.959961,16991.98242,5180.634766,8118.048828,5969.895996,11885.18652,8009.063477
Vwf,397420.875,398334.4375,358191.8438,309033.8438,310446.4688,384049.0625,376225.625,346727.3125,391876.7813,327169.25,364921.4375,308571.9063,381342.75,277741.875,377577.6563,293812.8438,284366.375,289704.6875,332116.375,245191.8281,317608.75,226456.7813,245847.5625,246060.0313,163031.9844,140374.5,225483.3281,251514.9375,171018.7188,244642.2969,234897.9531,330776.0625,232816.8906,206880.9688,119253.2891,179134.4531,148066.1406,89067.28125,130163.3203,88849.92969,88885.92969,56578.41406,68653.25,83301.79688,89141.65834,92212.67188,20159.64844,24913.75977,58743.33203,220975.7031,244178.0313,186945.7031,229246.6719,216365.5469,192286.0313,223009.3125,151908.9063,150356.1406,174501,187905.2969,181326.4844,250014.6094,164139.7969,330179.9375,139537.1094,52745.43359,93823.91406,98507.30469,155824.6563,117891.7891,171351.625,107124.1172,150833.6875,159628.4531,177566.8438,184271.5625,158171.6406,152521.9688,181130.7031
Lifr,2582324.25,1690347.5,2679402.75,2231824.75,2509768.75,3149854.5,1538806.5,1867932,1780741,1815442.75,1816745.25,1337931.5,1875567.125,1783342.875,2054460.875,1737406.625,2501342,1908914,2184556.25,1150476,1157658.5,1123750.125,1149515.5,1474092.25,2344294,2155305.75,1957421,2476531.5,1873249.25,2322270,2476621.25,2039675.125,2158560.75,2491465.75,718299.125,792852.375,748920.125,973461,829735,1588560.875,1512117.625,988353.6875,1054122.375,1581700.375,1217741.25,1151496.75,759184.5,276199.0313,963226.25,797457.875,822467.6875,896138.9375,757158.9375,974126.3125,1805228,2119181.5,1976222.125,1932053.75,2341373,1164186.5,2002306.25,1563552.25,1852068.125,1791486.625,678906.125,466989.8438,629356.875,812071.4375,780425.5,1426727,1395868.25,1252973.375,1583787.5,1738263.125,1315065.875,1055039.125,869811.9375,1089668.5,919376.9375
